Created on March	04/03/2014 09:50
Date;T1.T;T3.T;T5.T
01/01/2014 05:591571.5;283.148;288.533;292.919
01/01/2014 05:591571.7;283.148;288.533;292.919
01/01/2014 05:591571.8;283.148;288.533;292.919
01/01/2014 05:591572;283.148;288.533;292.919
01/01/2014 05:591572.2;283.148;288.533;292.919
01/01/2014 05:591572.4;283.148;288.533;292.919
01/01/2014 05:591572.6;283.148;288.533;292.919
01/01/2014 05:591572.7;283.148;288.533;292.919
01/01/2014 05:591572.9;283.148;288.533;292.919
01/01/2014 05:591573.1;283.148;288.533;292.919
01/01/2014 05:591573.3;283.148;288.533;292.919
01/01/2014 05:591573.4;283.148;288.533;292.919
01/01/2014 05:591573.6;283.148;288.533;292.919
01/01/2014 05:591573.8;283.148;288.533;292.919
01/01/2014 05:591574;283.148;288.533;292.919
01/01/2014 05:591574.2;283.148;288.533;292.919
01/01/2014 05:591574.3;283.147;288.533;292.919
01/01/2014 05:591574.5;283.147;288.533;292.919
01/01/2014 05:591574.7;283.147;288.533;292.919
01/01/2014 05:591574.9;283.147;288.533;292.919
01/01/2014 05:591575.1;283.147;288.533;292.919
01/01/2014 05:591575.3;283.147;288.533;292.919
01/01/2014 05:591575.4;283.147;288.533;292.919
01/01/2014 05:591575.6;283.147;288.533;292.919
01/01/2014 05:591575.8;283.147;288.533;292.919
01/01/2014 05:591576;283.147;288.533;292.919
01/01/2014 05:591576.2;283.147;288.533;292.919
01/01/2014 05:591576.3;283.147;288.533;292.919
01/01/2014 05:591576.5;283.147;288.533;292.919
01/01/2014 05:591576.7;283.147;288.533;292.919
01/01/2014 05:591576.9;283.147;288.533;292.919
01/01/2014 05:591577.1;283.147;288.533;292.919
01/01/2014 05:591577.2;283.147;288.533;292.919
01/01/2014 05:591577.4;283.147;288.533;292.919
01/01/2014 05:591577.6;283.147;288.533;292.919
01/01/2014 05:591577.8;283.147;288.533;292.919
01/01/2014 05:591577.9;283.147;288.533;292.919
01/01/2014 05:591578.1;283.147;288.533;292.919
01/01/2014 05:591578.3;283.147;288.533;292.919
01/01/2014 05:591578.5;283.147;288.533;292.919
01/01/2014 05:591578.7;283.147;288.533;292.919
01/01/2014 05:591578.8;283.147;288.533;292.919
01/01/2014 05:591579;283.147;288.533;292.919
01/01/2014 05:591579.2;283.147;288.533;292.919
01/01/2014 05:591579.4;283.147;288.533;292.919
01/01/2014 05:591579.6;283.147;288.533;292.919
01/01/2014 05:591579.8;283.147;288.533;292.919
01/01/2014 05:591579.9;283.147;288.533;292.919
01/01/2014 05:591580.1;283.147;288.533;292.919
01/01/2014 05:591580.3;283.146;288.533;292.919
01/01/2014 05:591580.5;283.146;288.533;292.918
01/01/2014 05:591580.7;283.146;288.533;292.918
01/01/2014 05:591580.8;283.146;288.533;292.918
01/01/2014 05:591581;283.146;288.533;292.918
01/01/2014 05:591581.2;283.146;288.533;292.918
01/01/2014 05:591581.4;283.146;288.533;292.918
01/01/2014 05:591581.6;283.146;288.533;292.918
01/01/2014 05:591581.7;283.146;288.533;292.918
01/01/2014 05:591581.9;283.146;288.533;292.918
01/01/2014 05:591582.1;283.146;288.533;292.918
01/01/2014 05:591582.3;283.146;288.533;292.918
01/01/2014 05:591582.4;283.146;288.533;292.918
01/01/2014 05:591582.6;283.146;288.533;292.918
01/01/2014 05:591582.8;283.146;288.533;292.918
01/01/2014 05:591583;283.146;288.533;292.918
01/01/2014 05:591583.2;283.146;288.533;292.918
01/01/2014 05:591583.3;283.146;288.533;292.918
01/01/2014 05:591583.5;283.146;288.533;292.918
01/01/2014 05:591583.7;283.146;288.533;292.918
01/01/2014 05:591583.9;283.146;288.533;292.918
01/01/2014 05:591584.1;283.146;288.533;292.918
01/01/2014 05:591584.3;283.146;288.533;292.918
01/01/2014 05:591584.4;283.146;288.533;292.918
01/01/2014 05:591584.6;283.146;288.533;292.918
01/01/2014 05:591584.8;283.146;288.533;292.918
01/01/2014 05:591585;283.146;288.533;292.918
01/01/2014 05:591585.2;283.146;288.533;292.918
01/01/2014 05:591585.3;283.146;288.533;292.918
01/01/2014 05:591585.5;283.146;288.533;292.918
01/01/2014 05:591585.7;283.146;288.533;292.918
01/01/2014 05:591585.9;283.146;288.533;292.918
01/01/2014 05:591586.1;283.146;288.533;292.918
01/01/2014 05:591586.2;283.145;288.533;292.918
01/01/2014 05:591586.4;283.145;288.533;292.918
01/01/2014 05:591586.6;283.145;288.533;292.918
01/01/2014 05:591586.8;283.145;288.533;292.918
01/01/2014 05:591586.9;283.145;288.533;292.918
01/01/2014 05:591587.1;283.145;288.533;292.918
01/01/2014 05:591587.3;283.145;288.533;292.918
01/01/2014 05:591587.5;283.145;288.533;292.918
01/01/2014 05:591587.7;283.145;288.533;292.918
01/01/2014 05:591587.8;283.145;288.533;292.918
01/01/2014 05:591588;283.145;288.533;292.918
01/01/2014 05:591588.2;283.145;288.533;292.918
01/01/2014 05:591588.4;283.145;288.533;292.918
01/01/2014 05:591588.6;283.145;288.533;292.918
01/01/2014 05:591588.8;283.145;288.533;292.918
01/01/2014 05:591588.9;283.145;288.533;292.918
01/01/2014 05:591589.1;283.145;288.533;292.918
01/01/2014 05:591589.3;283.145;288.533;292.918
01/01/2014 05:591589.5;283.145;288.533;292.918
01/01/2014 05:591589.7;283.145;288.533;292.918
01/01/2014 05:591589.8;283.145;288.533;292.918
01/01/2014 05:591590;283.145;288.533;292.918
01/01/2014 05:591590.2;283.145;288.533;292.918
01/01/2014 05:591590.4;283.145;288.533;292.918
01/01/2014 05:591590.6;283.145;288.533;292.918
01/01/2014 05:591590.7;283.145;288.533;292.918
01/01/2014 05:591590.9;283.145;288.533;292.918
01/01/2014 05:591591.1;283.145;288.533;292.918
01/01/2014 05:591591.3;283.145;288.533;292.918
01/01/2014 05:591591.4;283.145;288.533;292.918
01/01/2014 05:591591.6;283.145;288.533;292.918
01/01/2014 05:591591.8;283.145;288.533;292.918
01/01/2014 05:591592;283.145;288.533;292.918
01/01/2014 05:591592.2;283.144;288.533;292.918
01/01/2014 05:591592.3;283.144;288.533;292.918
01/01/2014 05:591592.5;283.144;288.533;292.918
01/01/2014 05:591592.7;283.144;288.533;292.918
01/01/2014 05:591592.9;283.144;288.533;292.918
01/01/2014 05:591593.1;283.144;288.533;292.918
01/01/2014 05:591593.3;283.144;288.533;292.918
01/01/2014 05:591593.4;283.144;288.533;292.918
01/01/2014 05:591593.6;283.144;288.533;292.918
01/01/2014 05:591593.8;283.144;288.533;292.918
01/01/2014 05:591594;283.144;288.533;292.918
01/01/2014 05:591594.2;283.144;288.533;292.918
01/01/2014 05:591594.3;283.144;288.533;292.918
01/01/2014 05:591594.5;283.144;288.533;292.918
01/01/2014 05:591594.7;283.144;288.533;292.918
01/01/2014 05:591594.9;283.144;288.533;292.918
01/01/2014 05:591595.1;283.144;288.533;292.918
01/01/2014 05:591595.2;283.144;288.533;292.918
01/01/2014 05:591595.4;283.144;288.533;292.918
01/01/2014 05:591595.6;283.144;288.533;292.918
01/01/2014 05:591595.8;283.144;288.533;292.918
01/01/2014 05:591595.9;283.144;288.533;292.918
01/01/2014 05:591596.1;283.144;288.533;292.918
01/01/2014 05:591596.3;283.144;288.533;292.918
01/01/2014 05:591596.5;283.144;288.533;292.918
01/01/2014 05:591596.7;283.144;288.533;292.918
01/01/2014 05:591596.8;283.144;288.533;292.918
01/01/2014 05:591597;283.144;288.533;292.918
01/01/2014 05:591597.2;283.144;288.533;292.918
01/01/2014 05:591597.4;283.144;288.533;292.918
01/01/2014 05:591597.6;283.144;288.533;292.918
01/01/2014 05:591597.8;283.144;288.533;292.918
01/01/2014 05:591597.9;283.144;288.533;292.918
01/01/2014 05:591598.1;283.143;288.533;292.918
01/01/2014 05:591598.3;283.143;288.533;292.918
01/01/2014 05:591598.5;283.143;288.533;292.918
01/01/2014 05:591598.7;283.143;288.533;292.918
01/01/2014 05:591598.8;283.143;288.533;292.918
01/01/2014 05:591599;283.143;288.533;292.918
01/01/2014 05:591599.2;283.143;288.533;292.918
01/01/2014 05:591599.4;283.143;288.533;292.918
01/01/2014 05:591599.6;283.143;288.533;292.918
01/01/2014 05:591599.7;283.143;288.533;292.918
