Time,T1.T,T3.T,T5.T
21578.8,283.147,288.533,292.919
21578.8,283.147,288.533,292.919
21579,283.147,288.533,292.919
21579,283.147,288.533,292.919
21579.2,283.147,288.533,292.919
21579.2,283.147,288.533,292.919
21579.4,283.147,288.533,292.919
21579.4,283.147,288.533,292.919
21579.6,283.147,288.533,292.919
21579.6,283.147,288.533,292.919
21579.8,283.147,288.533,292.919
21579.8,283.147,288.533,292.919
21579.9,283.147,288.533,292.919
21579.9,283.147,288.533,292.919
21580.1,283.147,288.533,292.919
21580.1,283.147,288.533,292.919
21580.3,283.146,288.533,292.919
21580.3,283.146,288.533,292.919
21580.5,283.146,288.533,292.918
21580.5,283.146,288.533,292.918
21580.7,283.146,288.533,292.918
21580.7,283.146,288.533,292.918
21580.8,283.146,288.533,292.918
21580.8,283.146,288.533,292.918
21581,283.146,288.533,292.918
21581,283.146,288.533,292.918
21581.2,283.146,288.533,292.918
21581.2,283.146,288.533,292.918
21581.4,283.146,288.533,292.918
21581.4,283.146,288.533,292.918
21581.6,283.146,288.533,292.918
21581.6,283.146,288.533,292.918
21581.7,283.146,288.533,292.918
21581.7,283.146,288.533,292.918
21581.9,283.146,288.533,292.918
21581.9,283.146,288.533,292.918
21582.1,283.146,288.533,292.918
21582.1,283.146,288.533,292.918
21582.3,283.146,288.533,292.918
21582.3,283.146,288.533,292.918
21582.4,283.146,288.533,292.918
21582.4,283.146,288.533,292.918
21582.6,283.146,288.533,292.918
21582.6,283.146,288.533,292.918
21582.8,283.146,288.533,292.918
21582.8,283.146,288.533,292.918
21583,283.146,288.533,292.918
21583,283.146,288.533,292.918
21583.2,283.146,288.533,292.918
21583.2,283.146,288.533,292.918
21583.3,283.146,288.533,292.918
21583.3,283.146,288.533,292.918
21583.5,283.146,288.533,292.918
21583.5,283.146,288.533,292.918
21583.7,283.146,288.533,292.918
21583.7,283.146,288.533,292.918
21583.9,283.146,288.533,292.918
21583.9,283.146,288.533,292.918
21584.1,283.146,288.533,292.918
21584.1,283.146,288.533,292.918
21584.3,283.146,288.533,292.918
21584.3,283.146,288.533,292.918
21584.4,283.146,288.533,292.918
21584.4,283.146,288.533,292.918
21584.6,283.146,288.533,292.918
21584.6,283.146,288.533,292.918
21584.8,283.146,288.533,292.918
21584.8,283.146,288.533,292.918
21585,283.146,288.533,292.918
21585,283.146,288.533,292.918
21585.2,283.146,288.533,292.918
21585.2,283.146,288.533,292.918
21585.3,283.146,288.533,292.918
21585.3,283.146,288.533,292.918
21585.5,283.146,288.533,292.918
21585.5,283.146,288.533,292.918
21585.7,283.146,288.533,292.918
21585.7,283.146,288.533,292.918
21585.9,283.146,288.533,292.918
21585.9,283.146,288.533,292.918
21586.1,283.146,288.533,292.918
21586.1,283.146,288.533,292.918
21586.2,283.145,288.533,292.918
21586.2,283.145,288.533,292.918
21586.4,283.145,288.533,292.918
21586.4,283.145,288.533,292.918
21586.6,283.145,288.533,292.918
21586.6,283.145,288.533,292.918
21586.8,283.145,288.533,292.918
21586.8,283.145,288.533,292.918
21586.9,283.145,288.533,292.918
21586.9,283.145,288.533,292.918
21587.1,283.145,288.533,292.918
21587.1,283.145,288.533,292.918
21587.3,283.145,288.533,292.918
21587.3,283.145,288.533,292.918
21587.5,283.145,288.533,292.918
21587.5,283.145,288.533,292.918
21587.7,283.145,288.533,292.918
21587.7,283.145,288.533,292.918
21587.8,283.145,288.533,292.918
21587.8,283.145,288.533,292.918
21588,283.145,288.533,292.918
21588,283.145,288.533,292.918
21588.2,283.145,288.533,292.918
21588.2,283.145,288.533,292.918
21588.4,283.145,288.533,292.918
21588.4,283.145,288.533,292.918
21588.6,283.145,288.533,292.918
21588.6,283.145,288.533,292.918
21588.8,283.145,288.533,292.918
21588.8,283.145,288.533,292.918
21588.9,283.145,288.533,292.918
21588.9,283.145,288.533,292.918
21589.1,283.145,288.533,292.918
